,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
10,FC,2024-08-21,89.0,1.07,5.73,"Cortes, Nestor",681807,641482,,foul,,,,,4,David Fry flies out to left fielder Alex Verdugo.,R,R,L,NYY,CLE,S,,,2,2,2024,-0.5,0.62,-0.31,2.74,,,,1,7,Top,,,,,,,-2.3214723268353845,-129.60558030512175,-2.605890217462857,-5.183968267410437,26.40411834548609,-24.90356803658341,3.39,1.53,104.0,100.9,5.0,88.2,2423,5.7,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.8,,,,,,,,50,7,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,181,0.0,0.0,,,,0.0,100.9,7,-7,0.995,0.005,29,28,30,29,3,2,8.0,1.0,5,1,2.25,-0.5,0.5,47.4
11,FC,2024-08-21,87.6,1.2,5.59,"Cortes, Nestor",681807,641482,,foul,,,,,9,David Fry flies out to left fielder Alex Verdugo.,R,R,L,NYY,CLE,S,,,2,2,2024,-0.42,0.51,0.39,1.72,,,,1,7,Top,,,,,,,-1.0796153612770774,-127.6884777539242,-4.315043269390571,-4.449198006372405,24.19585082960175,-25.898424736433046,3.39,1.53,13.0,96.5,-7.0,87.4,2265,5.9,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.61,,,,,,,,50,6,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,185,0.0,0.0,74.8,8.9,,0.0,96.5,7,-7,0.995,0.005,29,28,30,29,3,2,8.0,1.0,5,1,2.43,-0.42,0.42,43.7
12,FF,2024-08-21,92.4,0.52,5.9,"Cortes, Nestor",681807,641482,,ball,,,,,13,David Fry flies out to left fielder Alex Verdugo.,R,R,L,NYY,CLE,B,,,1,2,2024,0.27,1.57,-0.07,0.83,,,,1,7,Top,,,,,,,-2.0655448481060863,-134.24715572159684,-10.438195438440486,3.682332758531496,29.153896922052965,-11.122671376131873,3.21,1.36,,,,91.9,2301,6.1,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.4,,,,,,,,50,5,4-Seam Fastball,7,0,0,7,0,7,0,7,Standard,Standard,161,0.0,0.027,,,,-0.027,,7,-7,0.995,0.005,29,28,30,29,3,2,8.0,1.0,5,1,1.11,0.27,-0.27,57.3
13,FC,2024-08-21,89.1,1.02,5.76,"Cortes, Nestor",681807,641482,,foul,,,,,1,David Fry flies out to left fielder Alex Verdugo.,R,R,L,NYY,CLE,S,,,1,2,2024,-0.48,0.68,-0.3,3.37,,,,1,7,Top,,,,,,,-2.201352923505458,-129.85314048964912,-1.3466506611177844,-5.057439776371292,24.46515432381454,-24.403532363742084,3.39,1.53,4.0,77.6,-40.0,88.6,2255,5.7,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.82,,,,,,,,50,4,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,175,0.0,0.0,76.6,7.8,,0.0,88.0,7,-7,0.995,0.005,29,28,30,29,3,2,8.0,1.0,5,1,2.16,-0.48,0.48,53.6
14,CH,2024-08-21,83.4,1.35,5.53,"Cortes, Nestor",681807,641482,,ball,,,,,14,David Fry flies out to left fielder Alex Verdugo.,R,R,L,NYY,CLE,B,,,0,2,2024,1.43,0.19,1.61,-0.31,,,,1,7,Top,,,,,,,-2.2025296813437256,-121.18264577567702,-7.221565934106941,14.4878157113331,25.933811607759257,-28.97526599076556,3.24,1.36,,,,82.2,1555,5.8,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.73,,,,,,,,50,3,Changeup,7,0,0,7,0,7,0,7,Standard,Standard,114,0.0,0.013,,,,-0.013,,7,-7,0.995,0.005,29,28,30,29,3,2,8.0,1.0,5,1,3.12,1.43,-1.43,40.8
15,FF,2024-08-21,93.3,0.77,5.84,"Cortes, Nestor",681807,641482,,called_strike,,,,,7,David Fry flies out to left fielder Alex Verdugo.,R,R,L,NYY,CLE,S,,,0,1,2024,0.31,1.61,-0.76,1.6,,,,1,7,Top,,,,,,,-4.5789217436099365,-135.56533631730818,-8.55042920807003,4.898268761507974,33.016519382347205,-10.628184802290868,3.19,1.36,,,,92.2,2399,6.0,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.51,,,,,,,,50,2,4-Seam Fastball,7,0,0,7,0,7,0,7,Standard,Standard,156,0.0,-0.036,,,,0.036,,7,-7,0.995,0.005,29,28,30,29,3,2,8.0,1.0,5,1,1.04,0.31,-0.31,55.0
16,ST,2024-08-21,75.4,1.6,5.75,"Cortes, Nestor",681807,641482,,called_strike,,,,,8,David Fry flies out to left fielder Alex Verdugo.,R,R,L,NYY,CLE,S,,,0,0,2024,-1.43,-0.06,0.04,1.5,,,,1,7,Top,,,,,,,-0.6917593771221628,-109.77944956336968,-1.538343253680561,-11.321697534790973,21.322475672685076,-32.585180377260365,3.14,1.34,,,,74.3,2601,5.6,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.87,,,,,,,,50,1,Sweeper,7,0,0,7,0,7,0,7,Standard,Standard,297,0.0,-0.023,,,,0.023,,7,-7,0.995,0.005,29,28,30,29,3,2,8.0,1.0,5,1,4.1,-1.43,1.43,43.3
17,ST,2024-08-21,72.6,2.49,5.03,"Cortes, Nestor",608070,641482,field_out,hit_into_play,,,,,9,José Ramírez pops out to first baseman Ben Rice.,R,R,L,NYY,CLE,X,3.0,popup,3,2,2024,-1.75,0.17,0.57,2.02,,,,0,7,Top,136.05,192.7,,,,,-0.845375019402496,-105.66337442862944,1.1271397307620723,-12.837738513509697,20.337252741905896,-31.364931293585983,3.36,1.54,35.0,70.9,80.0,70.9,2509,5.2,745704,669224,700250,650402,672724,683011,657077,592450,665742,55.26,0.006,0.007,0.0,1.0,0.0,0.0,3.0,49,9,Sweeper,7,0,0,7,0,7,0,7,Standard,Standard,287,0.002,-0.299,,,0.008,0.299,88.0,7,-7,0.993,0.007,29,31,30,32,3,2,8.0,1.0,5,1,4.2,-1.75,1.75,22.6
18,FC,2024-08-21,89.2,1.0,5.69,"Cortes, Nestor",608070,641482,,foul,,,,,8,José Ramírez pops out to first baseman Ben Rice.,R,R,L,NYY,CLE,S,,,3,2,2024,-0.42,0.64,-0.14,1.46,,,,0,7,Top,,,,,,,-1.8921403491356965,-129.89175543205562,-5.680608354845669,-4.375880012119331,28.19797860655826,-23.916668844761432,3.36,1.54,308.0,105.5,15.0,88.4,2265,5.8,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.67,,,,,,,,49,8,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,169,0.0,0.0,81.2,8.7,,0.0,105.5,7,-7,0.993,0.007,29,31,30,32,3,2,8.0,1.0,5,1,2.23,-0.42,0.42,46.1
19,FC,2024-08-21,87.3,1.16,5.58,"Cortes, Nestor",608070,641482,,foul,,,,,6,José Ramírez pops out to first baseman Ben Rice.,R,R,L,NYY,CLE,S,,,3,2,2024,-0.38,0.57,0.53,2.27,,,,0,7,Top,,,,,,,-0.7334874170083822,-127.2265308698636,-3.0081369152963524,-4.0470005859000455,24.99963281848336,-25.541391928525123,3.36,1.54,262.0,82.8,30.0,86.7,2318,5.7,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.76,,,,,,,,49,7,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,191,0.0,0.0,62.6,6.9,,0.0,88.0,7,-7,0.993,0.007,29,31,30,32,3,2,8.0,1.0,5,1,2.4,-0.38,0.38,44.3
20,FC,2024-08-21,87.8,1.29,5.65,"Cortes, Nestor",608070,641482,,ball,,,,,12,José Ramírez pops out to first baseman Ben Rice.,R,R,L,NYY,CLE,B,,,2,2,2024,-0.44,0.5,1.02,3.37,,,,0,7,Top,,,,,,,0.2670479495760753,-127.93937235865722,-0.4804839847102328,-4.909316821382993,25.132435637455675,-26.731748505204667,3.21,1.36,,,,87.0,2275,5.6,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.91,,,,,,,,49,6,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,187,0.0,0.096,,,,-0.096,,7,-7,0.993,0.007,29,31,30,32,3,2,8.0,1.0,5,1,2.43,-0.44,0.44,46.6
21,FF,2024-08-21,93.6,0.61,5.87,"Cortes, Nestor",608070,641482,,ball,,,,,11,José Ramírez pops out to first baseman Ben Rice.,R,R,L,NYY,CLE,B,,,1,2,2024,0.42,1.5,-1.15,3.25,,,,0,7,Top,,,,,,,-5.433734668154976,-136.1689652475696,-4.29824509434207,6.443340866946341,29.704304345152924,-12.800420939282652,3.26,1.39,,,,93.2,2325,6.1,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.43,,,,,,,,49,5,4-Seam Fastball,7,0,0,7,0,7,0,7,Standard,Standard,161,0.0,0.036,,,,-0.036,,7,-7,0.993,0.007,29,31,30,32,3,2,8.0,1.0,5,1,1.1,0.42,-0.42,61.3
22,CH,2024-08-21,81.7,1.2,5.59,"Cortes, Nestor",608070,641482,,foul,,,,,14,José Ramírez pops out to first baseman Ben Rice.,R,R,L,NYY,CLE,S,,,1,2,2024,1.23,0.35,1.97,2.36,,,,0,7,Top,,,,,,,-0.6077924133142317,-119.0980760790399,-1.4043388903273453,11.808026613140758,22.891755602518383,-28.7622521125507,3.36,1.54,161.0,62.7,54.0,81.0,1458,5.7,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.77,,,,,,,,49,4,Changeup,7,0,0,7,0,7,0,7,Standard,Standard,115,0.0,0.0,64.8,7.3,,0.0,88.0,7,-7,0.993,0.007,29,31,30,32,3,2,8.0,1.0,5,1,3.05,1.23,-1.23,41.5
23,ST,2024-08-21,76.0,1.28,5.56,"Cortes, Nestor",608070,641482,,called_strike,,,,,12,José Ramírez pops out to first baseman Ben Rice.,R,R,L,NYY,CLE,S,,,1,1,2024,-1.81,-0.28,0.94,2.81,,,,0,7,Top,,,,,,,2.4912826697176342,-110.5869036721128,1.8034330561277083,-15.241310206240826,20.86903752008297,-35.03676968638454,3.18,1.31,,,,74.7,2562,5.5,745704,669224,700250,650402,672724,683011,657077,592450,665742,55.01,,,,,,,,49,3,Sweeper,7,0,0,7,0,7,0,7,Standard,Standard,296,0.0,-0.051,,,,0.051,,7,-7,0.993,0.007,29,31,30,32,3,2,8.0,1.0,5,1,4.25,-1.81,1.81,44.2
24,FF,2024-08-21,91.8,0.76,5.94,"Cortes, Nestor",608070,641482,,ball,,,,,12,José Ramírez pops out to first baseman Ben Rice.,R,R,L,NYY,CLE,B,,,0,1,2024,0.23,1.65,1.04,3.0,,,,0,7,Top,,,,,,,0.2224474874310002,-133.63173651032827,-5.1007011989063065,2.6592003545627048,29.609486958701915,-11.527223300873793,3.37,1.44,,,,90.9,2320,5.8,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.72,,,,,,,,49,2,4-Seam Fastball,7,0,0,7,0,7,0,7,Standard,Standard,159,0.0,0.023,,,,-0.023,,7,-7,0.993,0.007,29,31,30,32,3,2,8.0,1.0,5,1,1.06,0.23,-0.23,53.9
25,FF,2024-08-21,90.7,0.67,5.98,"Cortes, Nestor",608070,641482,,swinging_strike,,,,,3,José Ramírez pops out to first baseman Ben Rice.,R,R,L,NYY,CLE,S,,,0,0,2024,0.36,1.67,0.3,2.91,,,,0,7,Top,,,,,,,-1.6698795191782747,-131.9849143486467,-5.252955010654244,4.539727336857054,28.464583734205767,-11.803409126455213,3.36,1.54,,,,89.8,2295,5.8,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.73,,,,,,,,49,1,4-Seam Fastball,7,0,0,7,0,7,0,7,Standard,Standard,159,0.0,-0.033,78.6,8.4,,0.033,,7,-7,0.993,0.007,29,31,30,32,3,2,8.0,1.0,5,1,1.11,0.36,-0.36,54.0
26,CH,2024-08-21,84.0,1.26,5.4,"Cortes, Nestor",657041,641482,strikeout,swinging_strike_blocked,,,,,14,Lane Thomas strikes out swinging.,R,R,L,NYY,CLE,S,2.0,,1,2,2024,1.13,0.32,0.51,0.65,,,,2,6,Top,,,,,,,-3.9330756818202097,-122.20102049785488,-5.152291044454688,12.068436445109985,25.52815363109378,-28.100248585723595,3.16,1.45,,,,83.0,1418,5.8,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.69,,0.0,0.0,1.0,0.0,0.0,,45,4,Changeup,7,0,0,7,0,7,0,7,Standard,Standard,111,0.001,-0.069,69.9,8.1,,0.069,,7,-7,0.993,0.007,29,28,30,29,3,2,8.0,1.0,5,1,2.93,1.13,-1.13,39.7
27,CH,2024-08-21,80.8,1.26,5.59,"Cortes, Nestor",657041,641482,,swinging_strike,,,,,6,Lane Thomas strikes out swinging.,R,R,L,NYY,CLE,S,,,1,1,2024,1.21,0.1,0.77,2.08,,,,2,6,Top,,,,,,,-3.371733178550805,-117.63397635761072,-1.3076031037784404,11.852433934359974,23.787469986238712,-31.25706457541988,3.16,1.45,,,,79.8,1315,5.7,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.77,,,,,,,,45,3,Changeup,7,0,0,7,0,7,0,7,Standard,Standard,113,0.0,-0.025,67.9,7.9,,0.025,,7,-7,0.993,0.007,29,28,30,29,3,2,8.0,1.0,5,1,3.41,1.21,-1.21,41.2
28,ST,2024-08-21,76.5,1.49,5.53,"Cortes, Nestor",657041,641482,,called_strike,,,,,9,Lane Thomas strikes out swinging.,R,R,L,NYY,CLE,S,,,1,0,2024,-1.55,0.01,0.37,1.82,,,,2,6,Top,,,,,,,0.4316353509791816,-111.40509207766078,-0.834648792986157,-12.956240122114922,20.0886480472075,-32.18707068201961,3.06,1.39,,,,75.6,2505,5.6,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.88,,,,,,,,45,2,Sweeper,7,0,0,7,0,7,0,7,Standard,Standard,303,0.0,-0.02,,,,0.02,,7,-7,0.993,0.007,29,28,30,29,3,2,8.0,1.0,5,1,3.88,-1.55,1.55,42.4
29,FC,2024-08-21,86.3,1.06,5.88,"Cortes, Nestor",657041,641482,,ball,,,,,12,Lane Thomas strikes out swinging.,R,R,L,NYY,CLE,B,,,0,0,2024,-0.48,0.92,0.56,3.74,,,,2,6,Top,,,,,,,-0.2199920627176075,-125.78570967168316,-0.8049980123283498,-5.104345192702541,23.30984767268193,-22.40834694115257,3.09,1.34,,,,85.9,2314,5.7,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.77,,,,,,,,45,1,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,177,0.0,0.015,,,,-0.015,,7,-7,0.993,0.007,29,28,30,29,3,2,8.0,1.0,5,1,2.11,-0.48,0.48,49.9
30,ST,2024-08-21,78.2,1.28,5.56,"Cortes, Nestor",680757,641482,field_out,hit_into_play,,,,,8,Steven Kwan grounds out to first baseman Ben Rice.,R,L,L,NYY,CLE,X,3.0,ground_ball,1,1,2024,-1.4,-0.1,-0.03,1.75,,,,1,6,Top,155.29,166.42,,,,,-0.2491674816918663,-113.88804607227776,-1.127903822337483,-12.024701885148326,22.58285816706766,-33.03061269832141,3.16,1.41,113.0,83.9,9.0,76.9,2569,5.5,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.99,0.503,0.476,0.0,1.0,0.0,0.0,4.0,44,3,Sweeper,7,0,0,7,0,7,0,7,Standard,Standard,292,0.002,-0.154,,,0.568,0.154,88.0,7,-7,0.991,0.009,29,26,30,27,3,2,8.0,1.0,5,1,3.84,-1.4,-1.4,43.8
31,ST,2024-08-21,76.6,1.49,5.39,"Cortes, Nestor",680757,641482,,ball,,,,,14,Steven Kwan grounds out to first baseman Ben Rice.,R,L,L,NYY,CLE,B,,,0,1,2024,-1.42,-0.45,0.14,0.43,,,,1,6,Top,,,,,,,-0.2869175904850995,-111.50881614724656,-2.6086906517731987,-11.749423426875726,21.198389416748007,-35.60996894294789,3.09,1.44,,,,75.4,2605,5.5,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.98,,,,,,,,44,2,Sweeper,7,0,0,7,0,7,0,7,Standard,Standard,297,0.0,0.015,,,,-0.015,,7,-7,0.991,0.009,29,26,30,27,3,2,8.0,1.0,5,1,4.35,-1.42,-1.42,38.8
32,FC,2024-08-21,86.7,1.12,5.71,"Cortes, Nestor",680757,641482,,called_strike,,,,,4,Steven Kwan grounds out to first baseman Ben Rice.,R,L,L,NYY,CLE,S,,,0,0,2024,-0.54,0.84,-0.55,2.02,,,,1,6,Top,,,,,,,-2.8534867743288186,-126.33008960403085,-4.362089154397146,-5.253861453451239,24.24673938791674,-22.455779527587755,3.11,1.39,,,,86.0,2312,5.6,745704,669224,700250,650402,672724,683011,657077,592450,665742,54.87,,,,,,,,44,1,Cutter,7,0,0,7,0,7,0,7,Standard,Standard,178,0.0,-0.023,,,,0.023,,7,-7,0.991,0.009,29,26,30,27,3,2,8.0,1.0,5,1,2.17,-0.54,-0.54,46.9
