,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
151,SI,2022-04-07,94.8,-3.69,5.36,"Heyward, Jason",518792,664776,field_out,hit_into_play,,,,,13,"Jason Heyward grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,L,R,CHC,MIL,X,6.0,ground_ball,2,1,2022,-1.78,0.61,-0.93,2.45,,,,1,8,Bot,120.68,144.76,,,605170,,,11.237661565376474,-137.44311938969017,-3.2130199191250632,-25.109177273877744,34.46737481687115,-23.90679481033102,3.58,1.68,12.0,103.0,-11.0,94.7,2046,6.7,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.78,0.26,0.24,0.0,1.0,0.0,0.0,2.0,71,4,Sinker,5,4,5,4,4,5,5,4,,,238,-0.009,-0.181,,
159,SL,2022-04-07,82.6,-4.04,5.16,"Heyward, Jason",518792,664776,,swinging_strike,,,,,8,"Jason Heyward grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,L,R,CHC,MIL,S,,,2,0,2022,0.42,0.16,-0.12,1.72,,,,1,8,Bot,,,,,605170,,,8.16616684946982,-119.92549013947686,-1.5744005692321037,2.321589506093446,25.55378426206298,-30.50923204501848,3.58,1.68,,,,82.9,2478,6.9,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.62,,,,,,,,71,3,Slider,5,4,5,4,4,5,5,4,,,50,0.0,-0.042,,
164,SL,2022-04-07,82.4,-4.0,5.12,"Heyward, Jason",518792,664776,,ball,,,,,13,"Jason Heyward grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,L,R,CHC,MIL,B,,,1,0,2022,0.48,0.29,-1.58,2.2,,,,1,8,Bot,,,,,605170,,,4.586864342055108,-119.8938548745063,-0.6133785864965909,3.668734250707957,24.48047162231305,-29.53814178011729,3.38,1.56,,,,82.8,2446,6.7,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.78,,,,,,,,71,2,Slider,5,4,5,4,4,5,5,4,,,59,0.0,0.044,,
167,SI,2022-04-07,94.9,-3.78,5.29,"Heyward, Jason",518792,664776,,ball,,,,,11,"Jason Heyward grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,L,R,CHC,MIL,B,,,0,0,2022,-1.63,0.55,-1.36,2.84,,,,1,8,Bot,,,,,605170,,,10.086244724076366,-137.66336783733212,-1.883278153455906,-23.093112796384684,35.33888795885625,-24.97032381085732,3.52,1.68,,,,95.1,2020,6.9,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.57,,,,,,,,71,1,Sinker,5,4,5,4,4,5,5,4,,,241,0.0,0.023,,
172,SL,2022-04-07,83.2,-3.82,5.2,"Suzuki, Seiya",673548,664776,strikeout,called_strike,,,,,1,Seiya Suzuki called out on strikes.,R,R,R,CHC,MIL,S,2.0,,0,2,2022,0.66,0.26,-0.52,2.74,,,,0,8,Bot,,,,,605170,,,6.318383634526689,-121.02866708606636,0.3793915170409792,5.100731496555382,25.930710839671978,-29.935691770450703,3.27,1.51,,,,83.5,2458,6.7,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.78,,0.0,0.0,1.0,0.0,0.0,,70,3,Slider,5,4,5,4,4,5,5,4,,,56,-0.013,-0.141,,
181,SI,2022-04-07,93.7,-3.68,5.39,"Suzuki, Seiya",673548,664776,,called_strike,,,,,7,Seiya Suzuki called out on strikes.,R,R,R,CHC,MIL,S,,,0,1,2022,-1.57,0.61,-0.54,1.61,,,,0,8,Bot,,,,,605170,,,11.645885449898026,-135.72916279997244,-5.2930463240070935,-22.02814829784404,33.035575361580065,-23.615692829725848,3.2,1.51,,,,93.7,2079,6.8,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.7,,,,,,,,70,2,Sinker,5,4,5,4,4,5,5,4,,,238,0.0,-0.046,,
188,SI,2022-04-07,94.8,-3.56,5.48,"Suzuki, Seiya",673548,664776,,called_strike,,,,,1,Seiya Suzuki called out on strikes.,R,R,R,CHC,MIL,S,,,0,0,2022,-1.52,0.92,-0.31,3.31,,,,0,8,Bot,,,,,605170,,,12.041210612924358,-137.5341595640204,-2.0141189433322717,-22.102907806641944,32.845543338697816,-20.322547057448755,3.22,1.48,,,,95.4,2068,7.0,663178,664776,605170,642133,543939,670712,642715,592885,456715,592669,53.5,,,,,,,,70,1,Sinker,5,4,5,4,4,5,5,4,,,236,0.0,-0.034,,
250,FF,2022-04-07,94.5,-2.77,4.85,"Brosseau, Mike",670712,571710,strikeout,swinging_strike,,,,,3,Mike Brosseau strikes out swinging.,R,R,R,CHC,MIL,S,2.0,,3,2,2022,-0.72,1.05,0.4,3.12,,605170.0,,2,8,Top,,,,,575929,,,9.93840903567526,-137.35169044262707,-1.1615910331782549,-11.279902833882348,29.368215611509186,-18.836929386609174,3.3,1.5,,,,95.3,2603,6.7,663178,571710,575929,643524,663611,621550,663538,664023,518792,673548,53.76,,0.0,0.0,1.0,0.0,0.0,,69,6,4-Seam Fastball,5,4,4,5,4,5,4,5,,,229,0.083,-0.309,,
261,FF,2022-04-07,94.1,-2.83,4.81,"Brosseau, Mike",670712,571710,,ball,,,,,14,Mike Brosseau strikes out swinging.,R,R,R,CHC,MIL,B,,,2,2,2022,-0.35,1.16,1.71,2.09,,605170.0,,2,8,Top,,,,,575929,,,12.593002488338689,-136.43627275641185,-3.893792839802007,-7.163051183871582,30.60370681429695,-16.984114584520615,3.39,1.5,,,,94.3,2492,6.7,663178,571710,575929,643524,663611,621550,663538,664023,518792,673548,53.84,,,,,,,,69,5,4-Seam Fastball,5,4,4,5,4,5,4,5,,,224,0.0,0.051,,
271,FF,2022-04-07,93.6,-2.84,4.76,"Brosseau, Mike",670712,571710,,called_strike,,,,,3,Mike Brosseau strikes out swinging.,R,R,R,CHC,MIL,S,,,2,1,2022,-0.72,0.99,0.45,2.95,,605170.0,,2,8,Top,,,,,575929,,,10.12116915121338,-136.032256058364,-1.1409685091693635,-11.000019098695525,27.48533167276684,-19.76969451169188,3.33,1.53,,,,94.3,2534,6.6,663178,571710,575929,643524,663611,621550,663538,664023,518792,673548,53.89,,,,,,,,69,4,4-Seam Fastball,5,4,4,5,4,5,4,5,,,227,0.0,-0.074,,
