Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Count/Balls-Strikes,After 2-0,21,61.0,46,5.0,12,2,0,3,,,14,4,0.29,0.261,0.443,0.5,0.943,23.0,2.0,1.0,0,0,0,0,0.231,189,97,7
Count/Balls-Strikes,After 3-0,14,21.0,11,1.0,3,0,0,1,,,10,0,0.0,0.273,0.619,0.546,1.165,6.0,1.0,0.0,0,0,0,0,0.2,263,91,2
Count/Balls-Strikes,After 0-1,23,275.0,260,16.0,43,6,0,6,,,11,89,8.09,0.165,0.211,0.258,0.469,67.0,4.0,4.0,0,0,0,0,0.224,43,56,31
Count/Balls-Strikes,After 1-1,23,203.0,191,21.0,50,9,0,7,,,8,59,7.38,0.262,0.296,0.419,0.714,80.0,2.0,2.0,0,2,0,0,0.339,115,114,34
Count/Balls-Strikes,After 2-1,22,71.0,61,5.0,14,3,0,2,,,9,16,1.78,0.23,0.338,0.377,0.715,23.0,1.0,1.0,0,0,0,0,0.279,119,82,9
Count/Balls-Strikes,After 3-1,15,34.0,23,1.0,4,1,0,0,,,11,4,0.36,0.174,0.441,0.217,0.659,5.0,1.0,0.0,0,0,0,0,0.211,114,25,3
Count/Balls-Strikes,After 0-2,21,132.0,123,8.0,20,3,0,3,,,8,65,8.13,0.163,0.22,0.26,0.48,32.0,2.0,1.0,0,0,0,0,0.309,47,113,14
Count/Balls-Strikes,After 1-2,23,175.0,162,19.0,33,5,0,5,,,11,80,7.27,0.204,0.257,0.327,0.584,53.0,3.0,1.0,0,1,0,0,0.359,77,135,23
Count/Balls-Strikes,After 2-2,23,122.0,107,10.0,20,3,0,2,,,14,47,3.36,0.187,0.287,0.271,0.558,29.0,1.0,1.0,0,0,0,0,0.31,73,92,15
Count/Balls-Strikes,Zero Balls,23,183.0,178,18.0,36,3,1,7,,,0,32,,0.202,0.213,0.348,0.561,62.0,3.0,3.0,0,2,0,0,0.206,67,55,25
Count/Balls-Strikes,Zero Strikes,23,105.0,98,18.0,34,5,1,6,,,5,0,0.0,0.347,0.371,0.602,0.973,59.0,1.0,0.0,0,2,0,0,0.298,190,100,22
Count/Balls-Strikes,Three Balls,20,84.0,54,5.0,10,1,0,2,,,30,17,0.57,0.185,0.476,0.315,0.791,17.0,1.0,0.0,0,0,0,0,0.229,152,68,7
Count/Balls-Strikes,Two Strikes,23,293.0,272,25.0,55,6,0,9,,,17,128,7.53,0.202,0.256,0.324,0.58,88.0,5.0,3.0,0,1,0,0,0.338,76,126,40
Count/Balls-Strikes,Batter Ahead,23,132.0,102,10.0,26,5,0,4,,,30,17,0.57,0.255,0.424,0.422,0.846,43.0,2.0,0.0,0,0,0,0,0.272,162,77,17
Count/Balls-Strikes,Even Count,23,196.0,191,23.0,52,12,1,5,,,0,34,,0.272,0.276,0.424,0.7,81.0,2.0,2.0,0,3,0,0,0.303,110,102,34
Count/Balls-Strikes,Pitcher Ahead,23,213.0,208,17.0,38,2,0,9,,,0,77,,0.183,0.197,0.322,0.519,67.0,4.0,4.0,0,1,0,0,0.236,55,98,27
Leading Off Inning,First Batter,23,23.0,23,1.0,6,0,0,1,,,0,5,,0.261,0.261,0.391,0.652,9.0,0.0,0.0,0,0,0,0,0.294,96,86,5
Leading Off Inning,Leadoff Inn.,23,138.0,132,2.0,24,3,1,2,,,4,37,9.25,0.182,0.217,0.265,0.483,35.0,0.0,2.0,0,0,0,0,0.237,47,38,18
Opposition Defensive Position,vs. Non-P,23,541.0,501,51.0,116,19,1,18,12,0,30,128,4.27,0.232,0.281,0.381,0.662,191.0,8.0,6.0,0,4,0,0,0.273,100,85,78
Number of Outs in Inning,0 outs,23,180.0,172,12.0,40,7,1,4,4,0,4,44,11.0,0.233,0.256,0.355,0.61,61.0,3.0,2.0,0,2,0,0,0.286,84,69,28
Number of Outs in Inning,1 out,23,187.0,165,20.0,37,4,0,6,3,0,17,47,2.76,0.224,0.305,0.358,0.662,59.0,5.0,3.0,0,2,0,0,0.272,103,86,27
Number of Outs in Inning,2 outs,23,174.0,164,19.0,39,8,0,8,5,0,9,37,4.11,0.238,0.282,0.433,0.715,71.0,0.0,1.0,0,0,0,0,0.261,114,102,23
Bases Occupied,RISP,20,92.0,78,29.0,23,6,0,2,8,0,8,22,2.75,0.295,0.359,0.449,0.807,35.0,1.0,2.0,0,4,0,0,0.362,146,116,15
Bases Occupied,---,23,359.0,337,11.0,69,10,1,11,0,0,19,91,4.79,0.205,0.254,0.338,0.592,114.0,0.0,3.0,0,0,0,0,0.247,79,71,47
Bases Occupied,Men On,23,182.0,164,40.0,47,9,0,7,12,0,11,37,3.36,0.287,0.335,0.47,0.805,77.0,8.0,3.0,0,4,0,0,0.323,143,115,31
Bases Occupied,1--,22,90.0,86,11.0,24,3,0,5,4,0,3,15,5.0,0.279,0.311,0.488,0.8,42.0,7.0,1.0,0,0,0,0,0.288,139,113,16
Bases Occupied,-2-,16,35.0,31,7.0,8,2,0,1,0,0,3,9,3.0,0.258,0.343,0.419,0.762,13.0,0.0,1.0,0,0,0,0,0.333,132,107,5
Bases Occupied,--3,7,7.0,3,3.0,1,1,0,0,0,0,2,0,0.0,0.333,0.429,0.667,1.095,2.0,0.0,0.0,0,2,0,0,0.2,228,181,0
Bases Occupied,12-,14,24.0,23,8.0,10,2,0,0,2,0,0,4,,0.435,0.458,0.522,0.98,12.0,0.0,1.0,0,0,0,0,0.526,200,176,8
Bases Occupied,1-3,8,9.0,8,3.0,2,0,0,0,6,0,1,3,3.0,0.25,0.333,0.25,0.583,2.0,0.0,0.0,0,0,0,0,0.4,84,51,2
Bases Occupied,-23,7,11.0,8,3.0,1,1,0,0,0,0,2,5,2.5,0.125,0.273,0.25,0.523,2.0,0.0,0.0,0,1,0,0,0.25,63,33,0
Bases Occupied,123,3,6.0,5,5.0,1,0,0,1,0,0,0,1,,0.2,0.167,0.8,0.967,4.0,1.0,0.0,0,1,0,0,0.0,169,137,0
Bases Occupied,"on 1st,",19,80.0,74,19.0,28,4,0,5,2,0,4,16,4.0,0.378,0.413,0.635,1.048,47.0,8.0,1.0,0,1,0,0,0.426,214,174,19
Bases Occupied,"on 3rd,",10,20.0,14,9.0,4,2,0,0,1,0,2,6,3.0,0.286,0.3,0.429,0.729,6.0,1.0,0.0,0,4,0,0,0.333,119,72,2
Bases Occupied,"on 3rd, 2 out",8,13.0,10,4.0,1,0,0,1,0,0,3,3,1.0,0.1,0.308,0.4,0.708,4.0,0.0,0.0,0,0,0,0,0.0,115,97,0
